      ujd      | seeing_new | ub1_zp_new | lmt_mg_new | ccdid | good_pix_area |   ra_ul   |  dec_ul  |   ra_ur   |  dec_ur  |   ra_lr   |  dec_lr  |   ra_ll   |  dec_ll  
 2455200.95257 |          3 |       24.6 |     15.364 |    10 |      0.659729 | 214.96492 | 54.70832 | 214.90999 | 53.55784 | 213.94188 | 53.56883 | 213.96944 | 54.71966
 2455200.95257 |        3.3 |         25 |     15.656 |    11 |      0.659685 | 215.97589 | 54.68697 | 215.89452 | 53.53812 | 214.92883 |  53.5569 | 214.98317 |  54.7063
 2455200.95257 |          3 |       24.8 |     15.135 |     9 |      0.659659 | 213.94731 | 54.71895 | 213.91879 | 53.56801 | 212.95031 | 53.57225 | 212.95153 | 54.72336
 2455200.95257 |        3.1 |       24.7 |     15.217 |     8 |      0.658574 | 212.93478 | 54.72308 |  212.9333 |  53.5717 | 211.96421 | 53.56837 | 211.93823 | 54.71962
 2455200.95257 |        3.5 |       24.5 |     15.379 |     7 |      0.658866 | 211.92155 | 54.71772 | 211.94642 | 53.56675 | 210.97878 | 53.55606 | 210.92668 | 54.70673
 2455200.95257 |        3.3 |       24.7 |     15.131 |     6 |      0.658485 | 210.90922 | 54.70312 | 210.96315 | 53.55333 | 209.99712 | 53.53438 |   209.916 | 54.68364
 2455200.95257 |        3.2 |       24.9 |     14.903 |     5 |      0.649917 | 216.06461 | 55.84704 | 215.97643 | 54.69805 | 214.98522 |  54.7198 | 215.04422 | 55.86937
 2455200.95257 |          3 |       24.9 |     14.981 |     4 |      0.659133 | 215.02212 | 55.86752 | 214.96527 | 54.71749 | 213.96983 | 54.73016 | 213.99746 | 55.88054
 2455200.95257 |        3.3 |       24.5 |     15.245 |     2 |       0.65937 |  212.9284 | 55.88345 |  212.9326 | 54.73171 | 211.93507 | 54.72611 | 211.90151 | 55.87766
 2455200.95257 |        3.7 |       24.8 |     14.821 |     1 |      0.650795 |  211.8857 | 55.87739 | 211.91792 | 54.72647 | 210.92238 | 54.71252 | 210.86102 | 55.86311
 2455200.95257 |        3.1 |         25 |     14.593 |     0 |      0.657278 | 210.84016 | 55.86363 | 210.90562 | 54.71429 |  209.9127 | 54.69166 |  209.8183 | 55.84032
